"Farm" "Sex" "Length" "Ecervi" "infect"
"AL" 2 164 0 0
"AL" 1 216 0 0
"AL" 1 208 0 0
"AL" 1 206 14.37 1
"AL" 1 204 0 0
"AL" 1 200 0 0
"AL" 1 199 0.9 1
"AL" 1 197 0.8 1
"AL" 1 196 1.21 1
"AL" 1 196 0 0
"AL" 1 192 2.38 1
"AL" 1 191 0 0
"AL" 1 190 0 0
"AL" 1 180 0 0
"AL" 1 178 53.6 1
"AU" 1 195 36.0654 1
"AU" 1 190 3.9888 1
"AU" 1 188 24.93 1
"AU" 1 185 286.695 1
"AU" 1 185 0.6648 1
"AU" 1 184 104.1 1
"AU" 1 184 22 1
"AU" 1 184 5.4846 1
"AU" 1 180 49.86 1
"AU" 1 180 0 0
"AU" 1 178 143.14 1
"AU" 1 176 24.15 1
"AU" 1 175 50.9 1
"AU" 1 175 20 1
"AU" 1 174 77.6154 1
"AU" 1 174 9.7 1
"AU" 1 173 27.7554 1
"AU" 1 173 2.5 1
"AU" 1 172 5.4846 1
"AU" 1 170 27.62 1
"AU" 1 170 24.93 1
"AU" 1 170 0 0
"AU" 1 169 177.3354 1
"AU" 1 169 131.4 1
"AU" 1 169 3.6564 1
"AU" 1 167 5.4846 1
"AU" 1 161 237.8 1
"AU" 1 160 20.7 1
"AU" 1 158 3.6564 1
"AU" 1 155 0 0
"AU" 1 153 24.55 1
"AU" 1 153 0 0
"BA" 2 168.5 7.91 1
"BA" 2 168 11.634 1
"BA" 2 168 2.47 1
"BA" 2 165.2 0 0
"BA" 2 164.3 1.85 1
"BA" 2 164 4.21 1
"BA" 2 161 6 1
"BA" 2 161 2.8254 1
"BA" 2 159 15.58 1
"BA" 2 156 116.34 1
"BA" 2 156 0 0
"BA" 2 154 14.9 1
"BA" 2 153.5 19 1
"BA" 2 150 0 0
"BA" 2 148 38.226 1
"BA" 2 148 0 0
"BA" 2 145 28.5864 1
"BA" 2 145 0 0
"BA" 2 143 7.9776 1
"BA" 2 140 1.21 1
"BA" 2 139 66.48 1
"BA" 2 138 1.99 1
"BA" 2 138 0.3324 1
"BA" 2 137 477.36 1
"BA" 2 137 0 0
"BA" 2 129 58 1
"BA" 2 125 0 0
"BA" 2 122 0 0
"BA" 1 202 84.9 1
"BA" 1 187 252.8 1
"BA" 1 187 205.8 1
"BA" 1 187 51.9 1
"BA" 1 186 89.5 1
"BA" 1 185 199.6 1
"BA" 1 183 6.2 1
"BA" 1 182 285.3 1
"BA" 1 181 112.24 1
"BA" 1 180 147.8 1
"BA" 1 178 168.7 1
"BA" 1 178 114.4 1
"BA" 1 177 140 1
"BA" 1 176 266.9 1
"BA" 1 175 475.7 1
"BA" 1 173 126.1 1
"BA" 1 170 1357.8 1
"BA" 1 170 5.4846 1
"BA" 1 169 29.2 1
"BA" 1 159 40.1 1
"BA" 1 159 15.9 1
"BA" 1 132 0 0
"BE" 2 122 14.08 1
"BE" 1 180 41.51 1
"BE" 1 175 519.6 1
"BE" 1 170.5 1.15 1
"BE" 1 166.6 39.75 1
"BE" 1 165 17.99 1
"BE" 1 162 7.41 1
"BE" 1 160 56.9 1
"BE" 1 158 23.7 1
"BE" 1 158 23.54 1
"BE" 1 156 19.62 1
"BE" 1 154 117.14 1
"BE" 1 145 30.1 1
"CB" 2 174.8 109.86 1
"CB" 2 174 47.98 1
"CB" 2 171 82.56 1
"CB" 2 169 12.07 1
"CB" 2 168 145 1
"CB" 2 168 34.73 1
"CB" 2 167 88.3 1
"CB" 2 165 65.57 1
"CB" 2 164 70.009 1
"CB" 2 164 56.85 1
"CB" 2 164 20.85 1
"CB" 2 163 26.06 1
"CB" 2 162 427.3 1
"CB" 2 162 68.26 1
"CB" 2 162 3.33 1
"CB" 2 162 2.4 1
"CB" 2 162 0 0
"CB" 2 161 9.49 1
"CB" 2 160 67.59 1
"CB" 2 160 34.78 1
"CB" 2 160 0 0
"CB" 2 159 1.9 1
"CB" 2 157 1.9 1
"CB" 2 156.5 35.77 1
"CB" 2 155.2 288.05 1
"CB" 2 155 0 0
"CB" 2 154.5 133.87 1
"CB" 2 154 47.01 1
"CB" 2 153.5 47.84 1
"CB" 2 153.5 21.9 1
"CB" 2 153 335.35 1
"CB" 2 153 40.7 1
"CB" 2 153 3.25 1
"CB" 2 152.8 15.04 1
"CB" 2 149 18.51 1
"CB" 2 147 221.68 1
"CB" 2 146 126.61 1
"CB" 2 143 354.4 1
"CB" 2 143 88.96 1
"CB" 2 142 0 0
"CB" 2 139.1 402.14 1
"CB" 2 139 0 0
"CB" 2 139 0 0
"CB" 2 138.2 4.7 1
"CB" 2 136 0 0
"CB" 2 135.5 0 0
"CB" 2 133.5 0 0
"CB" 2 132 0 0
"CB" 2 131.5 0 0
"CB" 2 131 0 0
"CB" 2 128.5 326.13 1
"CB" 2 127.9 0 0
"CB" 2 126 0 0
"CB" 2 120.5 0 0
"CB" 2 116 0 0
"CB" 2 114.5 0 0
"CB" 2 111.9 0 0
"CB" 2 110.3 0 0
"CB" 1 197 62.11 1
"CB" 1 190 16.67 1
"CB" 1 189 27.09 1
"CB" 1 187 20.4 1
"CB" 1 183 25.24 1
"CB" 1 179 0 0
"CB" 1 177 12.52 1
"CB" 1 170 0 0
"CB" 1 169.8 16.22 1
"CB" 1 169.5 178.42 1
"CB" 1 165 0 0
"CB" 1 163.5 86.31 1
"CB" 1 160 17.6 1
"CB" 1 158 135.88 1
"CB" 1 157 35.35 1
"CB" 1 156.5 0 0
"CB" 1 156 0 0
"CB" 1 154 2.199 1
"CB" 1 151.5 178.02 1
"CB" 1 151 98.39 1
"CB" 1 150 0 0
"CB" 1 148 180.45 1
"CB" 1 148 1.29 1
"CB" 1 147 134.05 1
"CB" 1 137.5 71.65 1
"CB" 1 130.5 54.09 1
"CB" 1 121.5 0 0
"CRC" 1 116.5 0 0
"HB" 2 174 3.33 1
"HB" 2 153 0 0
"HB" 2 147 0 0
"HB" 1 172 0 0
"HB" 1 170 0 0
"HB" 1 165 0 0
"HB" 1 163 0 0
"HB" 1 163 0 0
"HB" 1 162 1.15 1
"HB" 1 159 0 0
"HB" 1 159 0 0
"HB" 1 153 0 0
"HB" 1 152 0 0
"HB" 1 149.8 0 0
"HB" 1 145 0 0
"HB" 1 143 0 0
"HB" 1 142 0 0
"LN" 2 177 73.05 1
"LN" 2 176 86.37 1
"LN" 2 165 97.97 1
"LN" 2 165 22.187 1
"LN" 1 199 125.89 1
"LN" 1 198 141.21 1
"LN" 1 191 79.81 1
"LN" 1 190 125.35 1
"LN" 1 190 20.4 1
"LN" 1 189 284.31 1
"LN" 1 189 89.64 1
"LN" 1 184 831.14 1
"LN" 1 184 127.33 1
"LN" 1 182 37.77 1
"LN" 1 181 210.1 1
"LN" 1 181 207.68 1
"LN" 1 181 163.34 1
"LN" 1 179 129.71 1
"LN" 1 178 112.1 1
"LN" 1 178 2.3 1
"LN" 1 177 41.6 1
"LN" 1 176 97.29 1
"LN" 1 175 71.19 1
"LN" 1 174 160.75 1
"LN" 1 174 37.03 1
"LN" 1 172 96.25 1
"LN" 1 170 161.48 1
"LN" 1 166 23.3 1
"LN" 1 163 0 0
"LN" 1 160 4.66 1
"LN" 1 145 33.31 1
"LN" 1 118 0 0
"LN" 1 103 0 0
"MAN" 2 163 0 0
"MAN" 2 159 0 0
"MAN" 2 151 8.81 1
"MAN" 2 146 69.75 1
"MAN" 2 146 0 0
"MAN" 2 143 5.9 1
"MAN" 2 129 0 0
"MAN" 2 115 0 0
"MAN" 1 199 35.8 1
"MAN" 1 199 0 0
"MAN" 1 190 0 0
"MAN" 1 188 66.37 1
"MAN" 1 187 0 0
"MAN" 1 187 0 0
"MAN" 1 182 0 0
"MAN" 1 181 2.5 1
"MAN" 1 180 0 0
"MAN" 1 178 0 0
"MAN" 1 176 0 0
"MAN" 1 174 0 0
"MAN" 1 174 0 0
"MAN" 1 173 17.33 1
"MAN" 1 172 24.61 1
"MAN" 1 171 2 1
"MAN" 1 170 0 0
"MAN" 1 168 10 1
"MAN" 1 128 1.6 1
"MB" 2 169 12.13 1
"MB" 2 168.5 17.47 1
"MB" 2 168 13.72 1
"MB" 2 166.5 47.12 1
"MB" 2 164.2 3.5 1
"MB" 2 159.7 8 1
"MB" 2 157 6.09 1
"MB" 2 156.5 48 1
"MB" 2 155.5 15.73 1
"MB" 2 154 7.19 1
"MB" 2 153 10.76 1
"MB" 2 152.2 30.2 1
"MB" 2 150 29.3 1
"MB" 2 148 35.21 1
"MB" 2 146 57.8 1
"MB" 2 142.2 0 0
"MB" 2 115 53.5 1
"MB" 1 190 3.15 1
"MB" 1 184 0 0
"MB" 1 182 0 0
"MB" 1 181.9 3.85 1
"MB" 1 181.5 7.71 1
"MB" 1 180.7 27.35 1
"MB" 1 180.3 52.1 1
"MB" 1 179.4 2.2 1
"MB" 1 179 31.35 1
"MB" 1 179 0 0
"MB" 1 176 5.3 1
"MB" 1 172.5 24.42 1
